,,,,,Vorticity,,,,,,,Energy,,,,,,,,,,,,,,,,,,,,,,,
,Parameters,,,Velocity,,Time,w',w_total,|w_total|,e-foldings,,,Time,E_y(J/m),log(E_y),2*growth rate*t,,,,,,,,,,,,,,,,,,,
,Lz,5m,,,,15,16.13230069,14.13230069,14.13230069,12,,,15,1.41E+03,7.25329569,24,,,,,,,,,,,,,,,,,,,
,A_0,.0001 m/s,,,,20,880.7937735,878.7937735,878.7937735,16,,,20,4.21E+06,15.25329569,32,,,,,,,,,,,,,,,,,,,
,k_max,5 rad/m,,,,25,48089.71059,48087.71059,48087.71059,20,,,25,1.26E+10,23.25329569,40,,,,,,,,,,,,,,,,,,,
,lamba_max,1.2566 m,,,,30,2625609.234,2625607.234,2625607.234,24,,,30,3.74E+13,31.25329569,48,,,,,,,,,,,,,,,,,,,
,# of billows,8,,,,35,143353406.9,143353404.9,143353404.9,28,,,35,1.12E+17,39.25329569,56,,,,,,,,,,,,,,,,,,,
,Growth Rate,0.8 s^-1,,,,40,7826830817,7826830815,7826830815,32,,,40,3.33E+20,47.25329569,64,,,,,,,,,,,,,,,,,,,
,e-folding time,1.25 s,,,,45,4.2733E+11,4.2733E+11,4.2733E+11,36,,,45,9.91E+23,55.25329569,72,,,,,,,,,,,,,,,,,,,
,Linear regime validity,6.2 s,,,,50,2.33315E+13,2.33315E+13,2.33315E+13,40,,,50,2.95E+27,63.25329569,80,,,,,,,,,,,,,,,,,,,
,,,,,,55,1.27385E+15,1.27385E+15,1.27385E+15,44,,,55,8.81E+30,71.25329569,88,,,,,,,,,,,,,,,,,,,
,,,,,,60,6.95501E+16,6.95501E+16,6.95501E+16,48,,,60,2.63E+34,79.25329569,96,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parameters,,,Velocity,,Time,w',w_total,|w_total|,e-foldings,,,Time,E_y(J/m),log(E_y),2*growth rate*t,,,,,,,,,,,,,,,,,,,
,,,,0.5 m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
